model,mi_weight,epoch_0idx,epoch_1idx,step,dci_disentanglement,dci_completeness,dci_informativeness_test,mig,factor_vae_eval,beta_vae_eval,loss_total_mean,loss_total_std,loss_simple_mean,loss_vlb_mean,loss_diffusion_mean,loss_mi_mean
Baseline,0.0000,10,11,56249,0.9933,0.7366,0.9993,0.3476,1.0000,1.0000,0.0295,0.0064,0.0295,0.0010,,
Baseline,0.0000,11,12,63749,0.9947,0.7360,0.9997,0.3467,1.0000,1.0000,0.0287,0.0061,0.0287,0.0011,,
Baseline,0.0000,12,13,71249,0.9941,0.7394,0.9997,0.3441,1.0000,1.0000,0.0263,0.0039,0.0263,0.0006,,
Baseline,0.0000,13,14,78749,0.9903,0.7329,0.9997,0.3641,1.0000,1.0000,0.0259,0.0047,0.0259,0.0008,,
Baseline,0.0000,14,15,86249,0.9965,0.7397,0.9996,0.3595,1.0000,1.0000,0.0256,0.0036,0.0256,0.0007,,
Hybrid_0.15,0.1500,10,11,56249,0.9936,0.7446,0.9997,0.3630,1.0000,1.0000,0.0429,0.0658,0.0413,0.0011,0.0413,0.0016
Hybrid_0.15,0.1500,11,12,63749,0.9896,0.7433,0.9994,0.3549,1.0000,1.0000,0.0300,0.0062,0.0305,0.0010,0.0305,-0.0005
Hybrid_0.15,0.1500,12,13,71249,0.9930,0.7416,0.9993,0.3391,1.0000,1.0000,0.0254,0.0054,0.0269,0.0008,0.0269,-0.0015
Hybrid_0.15,0.1500,13,14,78749,0.9946,0.7407,0.9998,0.3353,1.0000,1.0000,0.0273,0.0158,0.0285,0.0010,0.0285,-0.0013
Hybrid_0.15,0.1500,14,15,86249,0.9955,0.7479,0.9995,0.3810,0.9998,1.0000,0.0305,0.0346,0.0315,0.0010,0.0315,-0.0010
Hybrid_0.3,0.3000,10,11,56249,0.9923,0.7384,0.9996,0.3691,1.0000,1.0000,0.0342,0.0060,0.0303,0.0010,0.0303,0.0039
Hybrid_0.3,0.3000,11,12,63749,0.9970,0.7453,0.9995,0.3952,1.0000,1.0000,0.0321,0.0052,0.0304,0.0010,0.0304,0.0017
Hybrid_0.3,0.3000,12,13,71249,0.9914,0.7412,0.9994,0.4012,1.0000,1.0000,0.0306,0.0158,0.0294,0.0008,0.0294,0.0012
Hybrid_0.3,0.3000,13,14,78749,0.9953,0.7433,0.9998,0.3805,1.0000,1.0000,0.0278,0.0049,0.0267,0.0008,0.0267,0.0012
Hybrid_0.3,0.3000,14,15,86249,0.9971,0.7477,0.9996,0.4140,1.0000,1.0000,0.0289,0.0073,0.0269,0.0009,0.0269,0.0020
Hybrid_0.5,0.5000,10,11,56249,0.9755,0.7590,0.9978,0.3428,1.0000,1.0000,0.0385,0.0058,0.0301,0.0010,0.0301,0.0084
Hybrid_0.5,0.5000,11,12,63749,0.9952,0.7464,0.9997,0.4086,1.0000,1.0000,0.0377,0.0091,0.0320,0.0011,0.0320,0.0057
Hybrid_0.5,0.5000,12,13,71249,0.9944,0.7418,0.9995,0.3759,1.0000,1.0000,0.0332,0.0064,0.0281,0.0008,0.0281,0.0052
Hybrid_0.5,0.5000,13,14,78749,0.9964,0.7437,0.9994,0.3689,1.0000,1.0000,0.0314,0.0056,0.0264,0.0009,0.0264,0.0049
Hybrid_0.5,0.5000,14,15,86249,0.9963,0.7442,0.9994,0.3611,1.0000,1.0000,0.0315,0.0057,0.0262,0.0009,0.0262,0.0053
Hybrid_1.0,1.0000,10,11,56249,0.9937,0.7335,0.9996,0.2792,1.0000,1.0000,0.0535,0.0094,0.0324,0.0010,0.0324,0.0210
Hybrid_1.0,1.0000,11,12,63749,0.9882,0.7337,0.9980,0.2428,1.0000,1.0000,0.0479,0.0077,0.0325,0.0011,0.0325,0.0154
Hybrid_1.0,1.0000,12,13,71249,0.9972,0.7234,0.9995,0.2924,1.0000,1.0000,0.0448,0.0062,0.0275,0.0008,0.0275,0.0173
Hybrid_1.0,1.0000,13,14,78749,0.9975,0.7256,0.9991,0.2556,1.0000,1.0000,0.0424,0.0065,0.0272,0.0009,0.0272,0.0152
Hybrid_1.0,1.0000,14,15,86249,0.9962,0.7186,0.9995,0.2597,1.0000,1.0000,0.0405,0.0065,0.0267,0.0009,0.0267,0.0138
