model,mi_weight,epoch_0idx,epoch_1idx,step,dci_disentanglement_training,dci_completeness_training,dci_informativeness_test_training,mig_training,factor_vae_training,beta_vae_eval,loss_total_mean,loss_total_std,loss_simple_mean,loss_vlb_mean,loss_diffusion_mean,loss_mi_mean,mig_holdout,source_x,dci_disentanglement_holdout,dci_completeness_holdout,dci_informativeness_test_holdout,source_y,source,mig,dci_disentanglement,dci_completeness,dci_informativeness_test,factor_vae
Baseline,0.0,10.0,11,56249.0,0.9933,0.7366,0.9993,0.3476,1.0,1.0,0.0295,0.0064,0.0295,0.001,,,,,,,,,,0.3476,0.9933,0.7366,0.9993,1.0
Baseline,0.0,11.0,12,63749.0,0.9947,0.736,0.9997,0.3467,1.0,1.0,0.0287,0.0061,0.0287,0.0011,,,,,,,,,,0.3467,0.9947,0.736,0.9997,1.0
Baseline,0.0,12.0,13,71249.0,0.9941,0.7394,0.9997,0.3441,1.0,1.0,0.0263,0.0039,0.0263,0.0006,,,,,,,,,,0.3441,0.9941,0.7394,0.9997,1.0
Baseline,0.0,13.0,14,78749.0,0.9903,0.7329,0.9997,0.3641,1.0,1.0,0.0259,0.0047,0.0259,0.0008,,,,,,,,,,0.3641,0.9903,0.7329,0.9997,1.0
Baseline,0.0,14.0,15,86249.0,0.9965,0.7397,0.9996,0.3595,1.0,1.0,0.0256,0.0036,0.0256,0.0007,,,0.3611162370047434,held_out,0.991733691288708,0.7397507944872828,0.997,held_out,,0.3611162370047434,0.991733691288708,0.7397507944872828,0.997,1.0
Hybrid_0.15,0.15,10.0,11,56249.0,0.9936,0.7446,0.9997,0.363,1.0,1.0,0.0429,0.0658,0.0413,0.0011,0.0413,0.0016,,,,,,,,0.363,0.9936,0.7446,0.9997,1.0
Hybrid_0.15,0.15,11.0,12,63749.0,0.9896,0.7433,0.9994,0.3549,1.0,1.0,0.03,0.0062,0.0305,0.001,0.0305,-0.0005,,,,,,,,0.3549,0.9896,0.7433,0.9994,1.0
Hybrid_0.15,0.15,12.0,13,71249.0,0.993,0.7416,0.9993,0.3391,1.0,1.0,0.0254,0.0054,0.0269,0.0008,0.0269,-0.0015,,,,,,,,0.3391,0.993,0.7416,0.9993,1.0
Hybrid_0.15,0.15,13.0,14,78749.0,0.9946,0.7407,0.9998,0.3353,1.0,1.0,0.0273,0.0158,0.0285,0.001,0.0285,-0.0013,,,,,,,,0.3353,0.9946,0.7407,0.9998,1.0
Hybrid_0.15,0.15,14.0,15,86249.0,0.9955,0.7479,0.9995,0.381,0.9998,1.0,0.0305,0.0346,0.0315,0.001,0.0315,-0.001,0.3853165250546526,held_out,0.9910531392845188,0.736640662778238,0.9981666666666666,held_out,,0.3853165250546526,0.9910531392845188,0.736640662778238,0.9981666666666666,0.9998
Hybrid_0.3,0.3,10.0,11,56249.0,0.9923,0.7384,0.9996,0.3691,1.0,1.0,0.0342,0.006,0.0303,0.001,0.0303,0.0039,,,,,,,,0.3691,0.9923,0.7384,0.9996,1.0
Hybrid_0.3,0.3,11.0,12,63749.0,0.997,0.7453,0.9995,0.3952,1.0,1.0,0.0321,0.0052,0.0304,0.001,0.0304,0.0017,,,,,,,,0.3952,0.997,0.7453,0.9995,1.0
Hybrid_0.3,0.3,12.0,13,71249.0,0.9914,0.7412,0.9994,0.4012,1.0,1.0,0.0306,0.0158,0.0294,0.0008,0.0294,0.0012,,,,,,,,0.4012,0.9914,0.7412,0.9994,1.0
Hybrid_0.3,0.3,13.0,14,78749.0,0.9953,0.7433,0.9998,0.3805,1.0,1.0,0.0278,0.0049,0.0267,0.0008,0.0267,0.0012,,,,,,,,0.3805,0.9953,0.7433,0.9998,1.0
Hybrid_0.3,0.3,14.0,15,86249.0,0.9971,0.7477,0.9996,0.414,1.0,1.0,0.0289,0.0073,0.0269,0.0009,0.0269,0.002,0.4114765333268463,held_out,0.9916959725167268,0.7427303143845291,0.9978333333333332,held_out,,0.4114765333268463,0.9916959725167268,0.7427303143845291,0.9978333333333332,1.0
Hybrid_0.3,0.3,,16,,,,,0.3986504713288722,,,,,,,,,,,,,,,training_extended,0.3986504713288722,,,,
Hybrid_0.3,0.3,,17,,,,,0.3937395394327876,,,,,,,,,,,,,,,training_extended,0.3937395394327876,,,,
Hybrid_0.3,0.3,,18,,,,,0.3873621946976991,,,,,,,,,,,,,,,training_extended,0.3873621946976991,,,,
Hybrid_0.3,0.3,,19,,,,,0.4335014900748288,,,,,,,,,,,,,,,training_extended,0.4335014900748288,,,,
Hybrid_0.3,0.3,,20,,,,,0.423029485404447,,,,,,,,,,,,,,,training_extended,0.423029485404447,,,,
Hybrid_0.3,0.3,,21,,,,,0.3881237170703248,,,,,,,,,,,,,,,training_extended,0.3881237170703248,,,,
Hybrid_0.3,0.3,,22,,,,,0.4296587723152318,,,,,,,,,,,,,,,training_extended,0.4296587723152318,,,,
Hybrid_0.3,0.3,,23,,,,,0.4221143582743409,,,,,,,,,,,,,,,training_extended,0.4221143582743409,,,,
Hybrid_0.3,0.3,,24,,,,,0.4026388190531738,,,,,,,,,,,,,,,training_extended,0.4026388190531738,,,,
Hybrid_0.3,0.3,,25,,,,,,,,,,,,,,0.4094777052883433,held_out,0.992955877562133,0.7498018542502037,0.9973333333333332,held_out,,0.4094777052883433,0.992955877562133,0.7498018542502037,0.9973333333333332,
Hybrid_0.3,0.3,,25,,,,,0.4091616137625244,,,,,,,,,,,,,,,training_extended,0.4091616137625244,,,,
Hybrid_0.5,0.5,10.0,11,56249.0,0.9755,0.759,0.9978,0.3428,1.0,1.0,0.0385,0.0058,0.0301,0.001,0.0301,0.0084,,,,,,,,0.3428,0.9755,0.759,0.9978,1.0
Hybrid_0.5,0.5,11.0,12,63749.0,0.9952,0.7464,0.9997,0.4086,1.0,1.0,0.0377,0.0091,0.032,0.0011,0.032,0.0057,,,,,,,,0.4086,0.9952,0.7464,0.9997,1.0
Hybrid_0.5,0.5,12.0,13,71249.0,0.9944,0.7418,0.9995,0.3759,1.0,1.0,0.0332,0.0064,0.0281,0.0008,0.0281,0.0052,,,,,,,,0.3759,0.9944,0.7418,0.9995,1.0
Hybrid_0.5,0.5,13.0,14,78749.0,0.9964,0.7437,0.9994,0.3689,1.0,1.0,0.0314,0.0056,0.0264,0.0009,0.0264,0.0049,,,,,,,,0.3689,0.9964,0.7437,0.9994,1.0
Hybrid_0.5,0.5,14.0,15,86249.0,0.9963,0.7442,0.9994,0.3611,1.0,1.0,0.0315,0.0057,0.0262,0.0009,0.0262,0.0053,0.3653760607441547,held_out,0.9910675236885444,0.7415882633312915,0.9976666666666666,held_out,,0.3653760607441547,0.9910675236885444,0.7415882633312915,0.9976666666666666,1.0
Hybrid_1.0,1.0,10.0,11,56249.0,0.9937,0.7335,0.9996,0.2792,1.0,1.0,0.0535,0.0094,0.0324,0.001,0.0324,0.021,,,,,,,,0.2792,0.9937,0.7335,0.9996,1.0
